room_id,rows,mae_y_target_temp_main,mae_y_target_temp_toilet,mae_y_target_light,mae_y_target_sound,airflow_accuracy,airflow_f1
1,32,3.1259658125000005,11.356424234374998,18.49026659375,11.1491060625,0.3125,0.47619047619047616
2,39,3.0124867692307693,11.039021666666667,16.744585730769227,9.425409,0.28205128205128205,0.44
3,26,2.518145384615385,11.195369596153844,16.433109884615387,10.918636807692309,0.38461538461538464,0.5555555555555556
4,37,2.8418566756756753,11.606257905405405,16.814921432432435,9.78076333783784,0.3783783783783784,0.5490196078431373
5,44,2.5969749545454546,11.069707897727271,16.89747496590909,8.878148795454544,0.36363636363636365,0.5333333333333333
6,29,2.268068103448276,11.128943137931037,14.429102482758621,9.380566586206896,0.41379310344827586,0.5853658536585366
7,43,2.516002720930232,11.327791220930232,12.659493941860466,10.247632139534883,0.20930232558139536,0.34615384615384615
8,34,2.181103852941176,11.209803044117647,16.938243323529413,9.826526,0.3235294117647059,0.4888888888888889
9,33,2.7895795151515146,11.382497939393938,11.31961459090909,8.789967196969695,0.36363636363636365,0.5333333333333333
10,35,2.5514180285714287,11.276774757142855,15.36610947142857,8.254886285714285,0.2857142857142857,0.4444444444444444
11,33,2.560235606060607,11.327324727272726,14.999093515151516,10.882805787878787,0.2727272727272727,0.42857142857142855
12,29,2.9451209655172415,10.981565965517241,18.84818094827586,7.551748586206895,0.3103448275862069,0.47368421052631576
13,37,2.5260169459459467,11.278900621621622,17.31014789189189,10.273636905405406,0.35135135135135137,0.52
14,36,3.0809916111111115,11.040376402777776,16.27166381944444,10.885732777777779,0.19444444444444445,0.32558139534883723
15,33,2.4027350909090908,10.889450515151514,16.691510606060604,10.729159454545455,0.30303030303030304,0.46511627906976744
16,43,2.360038813953488,10.999346802325581,16.590047395348837,10.597237639534884,0.2558139534883721,0.4074074074074074
17,38,2.688746710526316,11.233031460526314,15.635373236842108,9.836956131578948,0.3157894736842105,0.48
18,27,2.262976555555556,11.189495388888888,16.318553074074075,9.951406537037037,0.3333333333333333,0.5
19,37,2.0669536486486484,10.883440378378378,15.202633486486484,8.635555513513514,0.13513513513513514,0.23809523809523808
20,31,2.4541730967741944,10.882946580645163,15.865035387096777,9.242459112903227,0.22580645161290322,0.3684210526315789
21,33,3.363883242424243,11.6835205,17.133288454545454,10.758502772727274,0.2727272727272727,0.42857142857142855
22,38,2.782096315789473,11.290593302631581,17.291065907894737,8.54273542105263,0.21052631578947367,0.34782608695652173
23,35,2.506122942857143,11.447532542857143,15.125381071428572,8.290224642857142,0.22857142857142856,0.37209302325581395
24,33,2.893263181818181,11.280392954545455,13.388884106060605,8.609500909090908,0.18181818181818182,0.3076923076923077
25,40,2.7678360499999997,11.153932075,14.671919687500003,11.000094362499999,0.325,0.49056603773584906
26,32,2.77358825,11.2907454375,11.899188640625,8.97669784375,0.34375,0.5116279069767442
27,45,2.1083178666666673,11.119229822222222,14.3248195,10.388508944444444,0.3333333333333333,0.5
28,36,2.715426722222222,11.605430277777778,15.413982152777777,8.898453763888888,0.4444444444444444,0.6153846153846154
29,31,3.0593128064516124,11.343130790322585,17.436604596774192,8.548443177419355,0.25806451612903225,0.41025641025641024
30,40,2.17972075,11.275421775,16.8504732625,10.021722725,0.375,0.5454545454545454
31,31,2.6018914516129037,11.378465612903225,14.558467758064518,9.85934843548387,0.3870967741935484,0.5581395348837209
32,27,2.4364042962962964,10.976416296296296,11.727488055555554,8.11231824074074,0.2222222222222222,0.36363636363636365
33,40,2.997190025,11.4648868125,14.478510474999998,10.2278371,0.325,0.49056603773584906
34,34,2.3044134117647053,11.210662426470588,14.673454720588234,9.708666044117647,0.20588235294117646,0.34146341463414637
35,35,2.7972388571428572,11.465263385714286,16.458200914285708,8.771859985714286,0.17142857142857143,0.2926829268292683
36,34,2.3319986764705884,11.166740794117647,15.956551661764703,10.360883764705884,0.4117647058823529,0.5833333333333334
37,35,2.7753110571428565,11.120492657142856,17.61661332857143,12.809119042857143,0.34285714285714286,0.5106382978723404
38,30,2.1379634333333324,11.069830983333334,13.212182716666668,9.949154483333333,0.3,0.46153846153846156
39,34,2.3165458529411764,11.256607823529412,12.471405794117647,8.13738895588235,0.29411764705882354,0.45454545454545453
40,32,2.5636931562500003,10.867935781249999,16.631698812499998,9.0207121875,0.1875,0.3157894736842105
41,28,2.7236442142857133,11.029393749999997,14.686732464285715,9.71058525,0.39285714285714285,0.5641025641025641
42,37,2.4957870810810805,11.19025685135135,16.17013891891892,8.289983175675676,0.43243243243243246,0.6037735849056604
43,38,2.702844684210526,11.292460644736842,14.343644026315792,9.391152263157894,0.39473684210526316,0.5660377358490566
44,40,2.722523925,11.741975674999999,13.1860135125,8.7515953625,0.325,0.49056603773584906
45,26,3.3213109999999997,11.20889998076923,13.346865942307694,8.587771615384614,0.2692307692307692,0.42424242424242425
46,35,2.830210971428571,11.401332571428572,16.473202599999997,11.6910184,0.2571428571428571,0.4090909090909091
47,39,2.292487179487179,11.281847538461536,11.766204756410255,8.821816307692307,0.41025641025641024,0.5818181818181818
48,45,2.288701666666667,11.177079011111111,14.2144357,9.281824444444446,0.3333333333333333,0.5
49,38,2.456214868421052,11.227377342105262,17.01067978947368,7.751593723684211,0.34210526315789475,0.5098039215686274
50,36,2.3252506666666664,10.8860545,14.128058305555555,8.966648,0.3055555555555556,0.46808510638297873
51,39,2.5643002820512812,10.912618256410257,16.685386025641026,11.442341897435897,0.3333333333333333,0.5
52,32,2.704242625,11.243722671875,18.030204062499998,10.556528640625,0.28125,0.43902439024390244
53,34,2.2810954999999997,10.79808761764706,11.726417147058823,8.099053441176471,0.2647058823529412,0.4186046511627907
54,42,2.657674380952381,10.98270880952381,15.860921404761903,8.442601452380952,0.35714285714285715,0.5263157894736842
