feature,delta_composite_loss,delta_airflow_f1,delta_mae_y_target_temp_main,delta_mae_y_target_temp_toilet,delta_mae_y_target_light,delta_mae_y_target_sound
active_med_20,-7.686434848608314e-07,0.0,-9.815473580143674e-06,3.7635277525538413e-06,-5.392079255983617e-06,8.369451139245143e-06
event_is_medication,-1.0247912669569814e-06,0.0,2.535125886993228e-09,-4.0028247383361304e-10,-1.923293240224666e-06,-2.178006672792776e-06
diagnosis_2,-1.0893369051245827e-06,0.0,2.0333043591058697e-06,-1.0384676052410668e-06,-1.9028120918918034e-05,1.367593653966992e-05
symptom_30,-1.1320791273305986e-06,0.0,1.953381012498312e-09,1.8251571844984937e-06,-1.1903883569530649e-05,5.5484564924768165e-06
symptom_20,-1.1493806937323825e-06,0.0,-1.8723292045663698e-06,2.46367532952263e-06,-1.46867179005028e-05,9.497848997952474e-06
active_med_0,-1.1715557093339157e-06,0.0,2.4445524746674607e-06,-1.1313332670681575e-06,2.7774972224392513e-06,-8.77693926071288e-06
diagnosis_6,-1.368342516627763e-06,0.0,-6.26042657270176e-07,-1.4600323439140084e-07,4.247069650631374e-06,-8.94839382503676e-06
trigger_med_8,-2.7914404157058925e-06,0.0,-6.604670010901259e-08,-2.6977074725209604e-06,-1.3597614493932042e-05,5.195607002406177e-06
active_med_4,-3.199390864239149e-06,0.0,-2.1725075859624354e-05,8.903628838652367e-07,-6.185173363704166e-06,1.4222322873180815e-05
diagnosis_5,-3.855225923388161e-06,0.0,1.3570261816475693e-06,-2.5704841846163617e-06,-6.397790366818867e-06,-7.809655320656361e-06
active_med_11,-4.427959552799621e-06,0.0,-9.543062299055549e-06,2.1288385809725696e-07,-3.8125624239881972e-06,-4.569097347584261e-06
diagnosis_4,-4.464990400521174e-06,0.0,5.00620641386007e-07,-1.2661619344100927e-06,-1.0024087751858701e-05,-7.070332566527782e-06
diagnosis_10,-5.114211447221351e-06,0.0,-1.2921584490843685e-05,3.5303628873606385e-06,-2.9604265687765974e-06,-8.105197624175275e-06
diagnosis_0,-5.12233019023256e-06,0.0,-9.197169728025756e-07,-9.106105345324522e-07,-1.6751711333640174e-05,-1.9072819181786826e-06
active_med_19,-6.032081781626175e-06,0.0,1.2531594072218155e-05,-4.949232797812897e-06,-3.633829379090514e-05,4.627605385110201e-06
trigger_med_21,-6.313847677574813e-06,0.0,6.752107557517206e-07,7.832204609314886e-07,-1.1852046917226744e-05,-1.4861775010643896e-05
trigger_med_9,-7.046260879661759e-06,0.0,3.939404109143396e-06,-1.0166521793308902e-06,-2.6415410932401073e-05,-4.6923845200552705e-06
trigger_med_1,-7.810639349514759e-06,0.0,-1.5718714263091016e-05,6.305525127814349e-06,-7.392226837765747e-06,-1.443714143078978e-05
active_med_13,-7.85464646568812e-06,0.0,-1.813986619136898e-06,-3.8998908369336505e-06,-4.2301176645054284e-05,1.6596468231711015e-05
symptom_26,-9.865718439527882e-06,0.0,1.4186991226239343e-06,1.5498958880755254e-06,-3.58792358703397e-05,-6.552232900247645e-06
symptom_18,-1.0768263937421807e-05,0.0,-5.443982621144983e-06,-1.6988678890328401e-06,-6.7296917105608145e-06,-2.9200513530724947e-05
active_med_18,-1.1834651282072173e-05,0.0,-1.5894238371227942e-05,-9.464025083616434e-07,-3.102954011957593e-05,5.315758624391265e-07
active_med_15,-1.1892992535678104e-05,0.0,4.609926216314619e-06,2.423847167420945e-06,-1.6545165291148578e-05,-3.806057823574349e-05
symptom_1,-1.3891372198315821e-05,0.0,-1.4961245344391472e-05,-2.677226316194492e-07,-1.0964352586739778e-05,-2.9372168237173923e-05
body_temperature,-1.4059296269408605e-05,0.0,7.430165662292154e-06,-3.7924815572409898e-06,-3.3577942023299556e-05,-2.629692715316878e-05
active_med_14,-1.4096388493811673e-05,0.0,-2.9708526065874707e-06,-8.349903986015761e-07,-2.1642169238944575e-05,-3.0937541735553964e-05
active_med_10,-1.5217214333063112e-05,0.0,-6.694418769548349e-06,3.46578389098795e-07,-7.146099473587242e-05,1.6939977784957705e-05
trigger_med_2,-1.5808911371095746e-05,0.0,-4.745688877427767e-06,1.6086707788076637e-06,-5.602414644023668e-05,-4.074480949967096e-06
symptom_9,-1.630791420126343e-05,0.0,-2.4645426091041145e-06,-5.248044077532654e-06,-1.5071790175014144e-05,-4.2447279948731875e-05
diagnosis_3,-2.1910973636352082e-05,0.0,-4.89265519285631e-05,1.8575467528592071e-06,-4.3875689939909535e-05,3.3008005715373656e-06
trigger_med_20,-2.2578159050823388e-05,0.0,6.532907236067587e-06,-4.971515217278011e-07,-0.00010655287388772194,1.0204481970532697e-05
active_med_6,-2.4468428271973153e-05,0.0,-1.0233611900556383e-05,-3.7563893702241558e-06,-4.5828137126946444e-05,-3.8055574696826966e-05
active_med_17,-2.567078075799145e-05,0.0,-5.725915297460915e-08,-5.319794810887402e-06,-2.229849997981148e-05,-7.500756908385142e-05
trigger_med_17,-2.6772452716983253e-05,0.0,-2.4769471132835008e-05,-5.675346201883258e-07,-5.367641976050663e-05,-2.8076385358843936e-05
active_med_8,-2.7946128589917407e-05,0.0,1.5500880241603454e-06,-2.0261659781084518e-06,-2.5323839111024427e-05,-8.598459730002617e-05
trigger_med_0,-3.1501918122955885e-05,0.0,2.1165872459150137e-06,1.592459316412942e-06,-4.355099368957838e-05,-8.616572537079037e-05
trigger_med_18,-3.672507326868413e-05,0.0,-2.6708909122152846e-05,-6.843505513387527e-07,-7.641976761263436e-05,-4.3087265797936425e-05
