group,delta_composite_loss,delta_airflow_f1,delta_mae_y_target_temp_main,delta_mae_y_target_temp_toilet,delta_mae_y_target_light,delta_mae_y_target_sound
baseline_numeric,11.069414538058059,0.0,19.042422510403778,9.683959544328346,6.328792306553572,9.222483790946532
event_type,0.009228075094849686,0.0,0.01759488083958516,0.010295519273403997,0.004674156031519772,0.004347744234879158
active_medications,0.009175333023407006,0.0,0.017016608810291878,0.012159686807404313,0.003964641553698911,0.003560394922226706
symptoms,0.004038148544768916,0.0,0.007416938341427315,0.005375530920732174,0.0017254830407438249,0.0016346418761674641
diagnosis,0.0025609082158268848,0.0,0.005226327200293035,0.0014875778246281612,0.001790010266137898,0.0017397175722511093
trigger_medication,0.0022177872986333114,0.0,0.004460189995460606,0.0026379778402674248,0.0009829851746250284,0.0007899961841832948
